Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|16/10/2024|00:05|00:05|NUEVA YORK|LA 2468|21
EMBARQUE FINALIZADO|16/10/2024|00:05|00:05|BOGOTA|LA 2444|15
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|SAO PAULO|LA 8005|24
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|MEXICO|AM 019|23
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|MIAMI|LA 2480|19
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|SAO PAULO|H2 5564|B5
EMBARQUE FINALIZADO|16/10/2024|00:20|06:40|SANTIAGO|H2 5586|27
EMBARQUE FINALIZADO|16/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|B4
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|CORDOBA|LA 2364|B10
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|SANTIAGO|H2 805|18
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|QUITO|LA 2486|26
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|BRASILIA|LA 2402|33
EMBARQUE FINALIZADO|16/10/2024|00:50|00:50|BOGOTA|P5 7417|21
EMBARQUE FINALIZADO|16/10/2024|00:50|00:50|SANTIAGO|LA 523|22
EMBARQUE FINALIZADO|16/10/2024|00:55|00:55|PANAMA|CM 338|30
EMBARQUE FINALIZADO|16/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|16/10/2024|01:00|01:00|ASUNCION|LA 1321|11
EMBARQUE FINALIZADO|16/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|16/10/2024|01:00|00:45|MIAMI|H8 5590|14
EMBARQUE FINALIZADO|16/10/2024|00:05|00:05|NUEVA YORK|LA 2468|21
EMBARQUE FINALIZADO|16/10/2024|00:05|00:05|BOGOTA|LA 2444|15
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|SAO PAULO|LA 8005|24
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|MEXICO|AM 019|23
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|MIAMI|LA 2480|19
EMBARQUE FINALIZADO|16/10/2024|00:15|00:15|SAO PAULO|H2 5564|B5
EMBARQUE FINALIZADO|16/10/2024|00:20|06:40|SANTIAGO|H2 5586|27
EMBARQUE FINALIZADO|16/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|B4
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|CORDOBA|LA 2364|B10
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|SANTIAGO|H2 805|18
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|QUITO|LA 2486|26
EMBARQUE FINALIZADO|16/10/2024|00:30|00:30|BRASILIA|LA 2402|33
EMBARQUE FINALIZADO|16/10/2024|00:50|00:50|BOGOTA|P5 7417|21
EMBARQUE FINALIZADO|16/10/2024|00:50|00:50|SANTIAGO|LA 523|22
EMBARQUE FINALIZADO|16/10/2024|00:55|00:55|PANAMA|CM 338|30
EMBARQUE FINALIZADO|16/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|16/10/2024|01:00|01:00|ASUNCION|LA 1321|11
EMBARQUE FINALIZADO|16/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|16/10/2024|01:00|00:45|MIAMI|H8 5590|14
EMBARQUE FINALIZADO|16/10/2024|01:15|00:45|LA PAZ|LA 2400|B7
EMBARQUE FINALIZADO|16/10/2024|01:15|01:15|LA PAZ|OB 743|28
CANCELADO|16/10/2024|01:20|01:20|BOGOTA|P5 7414|-
EMBARQUE FINALIZADO|16/10/2024|04:30|04:30|EL SALVADOR|AV 428|24
EMBARQUE FINALIZADO|16/10/2024|05:00|05:00|SANTO DOMINGO|DM 1965|18
EMBARQUE FINALIZADO|16/10/2024|06:25|06:25|MEXICO|Y4 3919|18
EMBARQUE FINALIZADO|16/10/2024|06:30|06:30|MIAMI|AA 1558|24
EMBARQUE FINALIZADO|16/10/2024|06:45|06:45|PANAMA|CM 436|23
EMBARQUE FINALIZADO|16/10/2024|06:45|06:45|BOGOTA|AV 102|26
EMBARQUE FINALIZADO|16/10/2024|07:00|07:00|PANAMA|CM 492|25
EMBARQUE FINALIZADO|16/10/2024|07:15|07:15|SANTIAGO|LA 643|16
EMBARQUE FINALIZADO|16/10/2024|08:15|08:15|MIAMI|LA 2698|22
EMBARQUE FINALIZADO|16/10/2024|08:15|08:15|BOGOTA|LA 2384|18
EMBARQUE FINALIZADO|16/10/2024|08:50|08:50|MEXICO|LA 2472|16
EMBARQUE FINALIZADO|16/10/2024|08:55|08:55|PUNTA CANA|LA 2452|31
EMBARQUE FINALIZADO|16/10/2024|08:55|08:55|CANCUN|LA 2458|24
EMBARQUE FINALIZADO|16/10/2024|08:55|08:55|SANTIAGO|H2 803|23
EMBARQUE FINALIZADO|16/10/2024|09:15|09:15|SANTIAGO|LA 535|20
EMBARQUE FINALIZADO|16/10/2024|09:20|09:20|SAO PAULO|LA 8040|33
EMBARQUE FINALIZADO|16/10/2024|09:35|09:50|SANTIAGO|LA 2697|15
EMBARQUE FINALIZADO|16/10/2024|09:35|09:35|BUENOS AIRES|LA 2380|18
EMBARQUE FINALIZADO|16/10/2024|09:55|09:55|CANCUN|H2 5553|26
EMBARQUE FINALIZADO|16/10/2024|10:00|10:00|PUNTA CANA|H2 5580|25
EMBARQUE FINALIZADO|16/10/2024|10:00|10:00|CARTAGENA|JA 7780|28
EMBARQUE FINALIZADO|16/10/2024|10:00|10:00|QUITO|LA 2382|30
EMBARQUE FINALIZADO|16/10/2024|10:20|10:20|MADRID|UX 176|21
EMBARQUE FINALIZADO|16/10/2024|10:35|10:35|BOGOTA|AV 050|24
EMBARQUE FINALIZADO|16/10/2024|11:40|11:40|MADRID|IB 6652|19
EMBARQUE FINALIZADO|16/10/2024|11:55|11:55|SANTIAGO|LA 651|18
EMBARQUE FINALIZADO|16/10/2024|12:00|12:00|LOS ANGELES|LA 534|22
