Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
EMBARQUE FINALIZADO|09/10/2024|00:55|00:55|HOUSTON|UA 855|19
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|MIAMI|H8 5590|12
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|SANTA CRUZ|LA 2406|13
EMBARQUE FINALIZADO|09/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|ASUNCION|LA 1321|32
EMBARQUE FINALIZADO|09/10/2024|01:15|01:15|LA PAZ|OB 743|30
EMBARQUE FINALIZADO|09/10/2024|01:30|01:30|LA PAZ|LA 2400|B6
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|BOGOTA|LA 2444|11
EMBARQUE FINALIZADO|09/10/2024|00:05|00:05|NUEVA YORK|LA 2468|17
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|LA 8005|25
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|SAO PAULO|H2 5564|27
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MIAMI|LA 2480|21
EMBARQUE FINALIZADO|09/10/2024|00:15|00:15|MEXICO|AM 019|18
EMBARQUE FINALIZADO|09/10/2024|00:20|00:20|MONTEVIDEO|H2 5586|B11
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|QUITO|LA 2486|B4
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|BRASILIA|LA 2402|10
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|CORDOBA|LA 2364|24
EMBARQUE FINALIZADO|09/10/2024|00:30|00:30|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|09/10/2024|00:50|00:50|SANTIAGO|LA 523|15
